uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1718383321","14 Jun 2024, 16:42","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","360","9e687f51-1fa6-4374-b9e0-2e3df630bcd5"
"1718316246","13 Jun 2024, 22:04","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","COLD VISIONS","d7d52cb9-0b8e-487a-b1fa-29d06e33ae65","YUNG SHERMAN (feat. Yung Sherman)",""
"1718316074","13 Jun 2024, 22:01","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Callin Me","971eef0d-a280-483f-bb17-9ae3ccc1c117"
"1718315927","13 Jun 2024, 21:58","Japanese Breakfast","8c529495-91f5-4e2f-b71b-adcb66878d04","Jubilee","7aa0673a-53b0-4cb8-9a94-9834b3c43b22","Savage Good Boy","ab506b58-43d1-486d-8f7f-4240d44d1a74"
"1718315772","13 Jun 2024, 21:56","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","COLD VISIONS","d7d52cb9-0b8e-487a-b1fa-29d06e33ae65","TERRIBLE EXCELLENCE (feat. Yung Lean)",""
"1718315521","13 Jun 2024, 21:52","Carly Rae Jepsen","09887aa7-226e-4ecc-9a0c-02d2ae5777e1","Emotion (Deluxe Expanded Edition)","","Run Away with Me","7121c3e9-a122-4347-9780-041ae1fd14c4"
"1718315110","13 Jun 2024, 21:45","8485","68eae9ac-43a1-465f-97dd-ce5ea3cb9dc9","Personal Protocol","32a94c14-1f18-406b-a1a0-de892fcd75ca","COOL_DNB_SONG",""
"1718314956","13 Jun 2024, 21:42","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","COLD VISIONS","d7d52cb9-0b8e-487a-b1fa-29d06e33ae65","WODRAINER","1cfcd9b6-0f41-4828-9ac0-2189cda6642c"
"1718314724","13 Jun 2024, 21:38","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","Love Me Anyway","3d9807ce-9b72-450a-9583-7b625311da72","Love Me Anyway","02c78c53-9238-4d40-8929-64f81a8d13b6"
"1718314468","13 Jun 2024, 21:34","Better Oblivion Community Center","9861b813-3e8e-4e3a-b5ec-78ac6280489a","Better Oblivion Community Center","","My City","1e68b967-8feb-423b-92e0-4b703724230b"
"1718314271","13 Jun 2024, 21:31","Pavement","","Slanted & Enchanted: Luxe & Reduxe","","Frontwards","4e51bd11-77e0-4d13-8988-8cfe3ea318a9"
"1718314083","13 Jun 2024, 21:28","Crying","e4687e1b-cf22-4fe1-83b7-ae82d874e17c","Beyond the Fleeting Gales","2bbaec58-5eff-43bc-be41-22928a4e2b6c","Premonitory Dream","4640db2d-16cf-4da2-b809-ece69052b779"
"1718313890","13 Jun 2024, 21:24","Indigo De Souza","a8d894ce-0e6b-4ddd-a49b-46f6330a590f","All of This Will End","6e3f8936-81e2-4bdd-b19b-76f180a3225a","Smog","91ae7447-a0ad-42a5-88b7-f8b8e7278bb0"
"1718313772","13 Jun 2024, 21:22","Matt OX","5ccb759f-2cdf-40b3-93f9-883ce3cd9ea8","Overwhelming","743adc39-a9f2-465d-a872-b55b6e9f03d9","Overwhelming","8c1741d4-1c29-4d20-a6ad-1b1421b979fb"
"1718313643","13 Jun 2024, 21:20","Ian","890b6c4f-583b-4c6f-a42a-a07b923abc49","Valedictorian","3af469c3-2d64-4bc7-bf8d-a6b409304df5","Never Stop","f6fc70f6-481b-4c0a-9302-ee7b9b7bdc48"
"1718313509","13 Jun 2024, 21:18","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","360","9e687f51-1fa6-4374-b9e0-2e3df630bcd5"
"1718313348","13 Jun 2024, 21:15","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","Talk talk","351af27b-2581-4f27-a75f-1ae5200db4f2"
"1718313207","13 Jun 2024, 21:13","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718313076","13 Jun 2024, 21:11","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718312293","13 Jun 2024, 20:58","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718312163","13 Jun 2024, 20:56","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718311779","13 Jun 2024, 20:49","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718311649","13 Jun 2024, 20:47","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718311519","13 Jun 2024, 20:45","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718311388","13 Jun 2024, 20:43","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718311258","13 Jun 2024, 20:40","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718237727","13 Jun 2024, 00:15","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236763","12 Jun 2024, 23:59","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236634","12 Jun 2024, 23:57","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236504","12 Jun 2024, 23:55","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236373","12 Jun 2024, 23:52","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236243","12 Jun 2024, 23:50","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718236112","12 Jun 2024, 23:48","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718235982","12 Jun 2024, 23:46","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718235852","12 Jun 2024, 23:44","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718234185","12 Jun 2024, 23:16","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
